Livestock.Subtype,Year,N
Dairy Cattle,1999,407400
Dairy Cattle,2008,798612
Dairy Cattle,2009,822570
Dairy Cattle,2010,847247
Dairy Cattle,2011,872665
Dairy Cattle,2012,898845
Dairy Cattle,2013,911400
Dairy Cattle,2014,953610
Dairy Cattle,2015,982192
Dairy Cattle,2016,1011720
Dairy Cattle,2017,993230
Other Cattle,1999,5412600
Other Cattle,2008,10610128
Other Cattle,2009,10928432
Other Cattle,2010,11256285
Other Cattle,2011,11593973
Other Cattle,2012,11941792
Other Cattle,2013,12108600
Other Cattle,2014,12669390
Other Cattle,2015,13049119
Other Cattle,2016,13441421
Other Cattle,2017,13195770
Sheep,1999,1044000
Sheep,2008,3413340
Sheep,2009,3515740
Sheep,2010,3621213
Sheep,2011,3729849
Sheep,2012,3841744
Sheep,2013,3937000
Sheep,2014,3842000
Sheep,2015,4197978
Sheep,2016,4327401
Sheep,2017,4445814
Goat,1999,6180000
Goat,2008,12449656
Goat,2009,12823146
Goat,2010,13207840
Goat,2011,13604075
Goat,2012,14012198
Goat,2013,14614000
Goat,2014,14011000
Goat,2015,15311507
Goat,2016,15788105
Goat,2017,16034536
Breeding Swine,1999,76000
Breeding Swine,2008,159215
Breeding Swine,2009,163991
Breeding Swine,2010,168911
Breeding Swine,2011,173979
Breeding Swine,2012,179198
Breeding Swine,2013,183650
Breeding Swine,2014,179200
Breeding Swine,2015,195814
Breeding Swine,2016,201852
Breeding Swine,2017,205468
Market Swine,1999,1444000
Market Swine,2008,3025085
Market Swine,2009,3115838
Market Swine,2010,3209313
Market Swine,2011,3305592
Market Swine,2012,3404760
Market Swine,2013,3489350
Market Swine,2014,3404800
Market Swine,2015,3720473
Market Swine,2016,3835182
Market Swine,2017,3903895
Poultry,1999,24622000
Poultry,2008,37443880
Poultry,2009,39270000
Poultry,2010,43201000
Poultry,2011,47502011
Poultry,2012,51468000
Poultry,2013,43396127
Poultry,2014,44498010
Poultry,2015,45144990
Poultry,2016,46291279
Poultry,2017,37531526
